Country Name,Country Code,Indicator Name,Indicator Code,2011
Aruba,ABW,Agricultural machinery   tractors,AG.AGR.TRAC.NO,
Aruba,ABW,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,
Aruba,ABW,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,
Aruba,ABW,Agricultural land (sq. km),AG.LND.AGRI.K2,20
Aruba,ABW,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.11111111
Aruba,ABW,Arable land (hectares),AG.LND.ARBL.HA,2000
Aruba,ABW,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.019620924
Aruba,ABW,Arable land (% of land area),AG.LND.ARBL.ZS,11.11111111
Aruba,ABW,Land under cereal production (hectares),AG.LND.CREL.HA,
Aruba,ABW,Permanent cropland (% of land area),AG.LND.CROP.ZS,
Aruba,ABW,Forest area (sq. km),AG.LND.FRST.K2,4.2
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,2.333333333
Aruba,ABW,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,
Aruba,ABW,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,180
Aruba,ABW,Agricultural machinery   tractors per 100 sq. km of arable land,AG.LND.TRAC.ZS,
Aruba,ABW,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,
Aruba,ABW,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,
Aruba,ABW,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,
Aruba,ABW,Surface area (sq. km),AG.SRF.TOTL.K2,180
Aruba,ABW,Cereal yield (kg per hectare),AG.YLD.CREL.KG,
Aruba,ABW,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,
Aruba,ABW,Agriculture   value added (% of GDP),NV.AGR.TOTL.ZS,0.512418427
Aruba,ABW,Improved water source   rural (% of rural population with access),SH.H2O.SAFE.RU.ZS,97.8
Aruba,ABW,Poverty gap at rural poverty line (%),SI.POV.RUGP,
Aruba,ABW,Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC,
Aruba,ABW,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,
Aruba,ABW,Rural population,SP.RUR.TOTL,54155.04455
Aruba,ABW,Rural population growth (annual %),SP.RUR.TOTL.ZG,0.151667306
Aruba,ABW,Rural population (% of total population),SP.RUR.TOTL.ZS,53.1286
Aruba,ABW,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,0.826909486
Aruba,ABW,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,0.098249197
Andorra,AND,Agricultural machinery   tractors,AG.AGR.TRAC.NO,
Andorra,AND,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,
Andorra,AND,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,
Andorra,AND,Agricultural land (sq. km),AG.LND.AGRI.K2,203
Andorra,AND,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.19148936
Andorra,AND,Arable land (hectares),AG.LND.ARBL.HA,2500
Andorra,AND,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.032106852
Andorra,AND,Arable land (% of land area),AG.LND.ARBL.ZS,5.319148936
Andorra,AND,Land under cereal production (hectares),AG.LND.CREL.HA,
Andorra,AND,Permanent cropland (% of land area),AG.LND.CROP.ZS,
Andorra,AND,Forest area (sq. km),AG.LND.FRST.K2,160
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,34.04255319
Andorra,AND,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,
Andorra,AND,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,470
Andorra,AND,Agricultural machinery   tractors per 100 sq. km of arable land,AG.LND.TRAC.ZS,
Andorra,AND,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,
Andorra,AND,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,
Andorra,AND,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,
Andorra,AND,Surface area (sq. km),AG.SRF.TOTL.K2,470
Andorra,AND,Cereal yield (kg per hectare),AG.YLD.CREL.KG,
Andorra,AND,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,
Andorra,AND,Agriculture   value added (% of GDP),NV.AGR.TOTL.ZS,
Andorra,AND,Improved water source   rural (% of rural population with access),SH.H2O.SAFE.RU.ZS,100
Andorra,AND,Poverty gap at rural poverty line (%),SI.POV.RUGP,
Andorra,AND,Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC,
Andorra,AND,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,
Andorra,AND,Rural population,SP.RUR.TOTL,9902.09205
Andorra,AND,Rural population growth (annual %),SP.RUR.TOTL.ZG,4.235889398
Andorra,AND,Rural population (% of total population),SP.RUR.TOTL.ZS,12.717
Andorra,AND,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,
Andorra,AND,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,
